,Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout%,margin,margin%,year
2713,Bijnor,5,SC,Uttar Pradesh [1947 - 1999],Girdhar Lal,Indian National Congress,725760,395079,54.4,99813,25.3,1984
2714,Bikaner,2,SC,Rajasthan,Manphool Singh,Indian National Congress,1005582,557794,55.5,126082,22.6,1984
2715,Bikramganj,39,GEN,Bihar [1947 - 1999],Tapeshwar Singh,Indian National Congress,849458,589876,69.4,1413,0.2,1984
2716,Bilaspur,15,SC,Madhya Pradesh [1947 - 1999],Khelan Ram Jangde,Indian National Congress,650819,351504,54.0,114267,32.5,1984
2717,Bilhaur,64,GEN,Uttar Pradesh [1947 - 1999],Jagdish Awasthi,Indian National Congress,735505,434405,59.1,81610,18.8,1984
2718,Birbhum,42,GEN,West Bengal,Gadahar Saha,Communist Party Of India (MARXIST),751344,563391,75.0,13481,2.4,1984
2719,Bobbili,3,GEN,Andhra Pradesh,Anand Gajapathi Raju Poosapati,Telugu Desam,702204,524135,74.6,137583,26.2,1984
2720,Bolangir,16,SC,Orissa,Nityanand Misra,Indian National Congress,647765,363455,56.1,34952,9.6,1984
2721,Bolpur,41,SC,West Bengal,Saradish Roy,Communist Party Of India (MARXIST),752853,589186,78.3,60931,10.3,1984
2722,Bombay North,9,SC,Maharashtra,Anoopchand Khimchand Shah,Indian National Congress,992937,502067,50.6,100124,19.9,1984
2723,Bombay North Central,6,GEN,Maharashtra,Dighe Sharad Shankar,Indian National Congress,790090,444362,56.2,132098,29.7,1984
2724,Bombay North East,7,SC,Maharashtra,Gurudas Kamat,Indian National Congress,1082419,654026,60.4,96274,14.7,1984
2725,Bombay North West,8,GEN,Maharashtra,Sunil Dutt,Indian National Congress,878652,517328,58.9,154640,29.9,1984
2726,Bombay South,4,GEN,Maharashtra,Deora Murli,Indian National Congress,653042,337582,51.7,105278,31.2,1984
2727,Bombay South Central,5,GEN,Maharashtra,Datta Samant,Independent,648214,391308,60.4,72611,18.6,1984
2728,Broach,23,ST,Gujarat,Patel Ahmedbhai Mohammedbhai,Indian National Congress,712414,444555,62.4,123069,27.7,1984
2729,Budaun,10,GEN,Uttar Pradesh [1947 - 1999],Saleem Iqbal Sherwani,Indian National Congress,675019,418682,62.0,49742,11.9,1984
2730,Bulandshahr,78,GEN,Uttar Pradesh [1947 - 1999],Kr. Surendra Pal,Indian National Congress,711066,406950,57.2,95900,23.6,1984
2731,Buldhana,18,GEN,Maharashtra,Wasnik Mukul Balkrishna,Indian National Congress,743946,479412,64.4,48058,10.0,1984
2732,Bulsar,26,ST,Gujarat,Patel Uttambhai Harjibhai,Indian National Congress,739221,411727,55.7,54690,13.3,1984
2733,Burdwan,39,GEN,West Bengal,Sudhir Ray,Communist Party Of India (MARXIST),840465,697707,83.0,57684,8.3,1984
2734,Buxar,37,GEN,Bihar [1947 - 1999],Kamla Kant Tiwari,Indian National Congress,881047,456203,51.8,55702,12.2,1984
2735,Calcutta North East,22,GEN,West Bengal,Ajit Kumar Panja,Indian National Congress,709568,509101,71.8,88576,17.4,1984
2736,Calcutta North West,21,GEN,West Bengal,Ashok Kumar Sen,Indian National Congress,598108,387146,64.7,132422,34.2,1984
2737,Calcutta South,23,GEN,West Bengal,Bhola Nath Sen,Indian National Congress,803022,582369,72.5,88939,15.3,1984
2738,Calicut,4,GEN,Kerala,K. G. Adiyodi,Indian National Congress,706343,562184,79.6,54061,9.6,1984
2739,Cannanore,2,GEN,Kerala,Muliappalli Ramachandran,Indian National Congress,693093,567922,81.9,25053,4.4,1984
2740,Chail,57,SC,Uttar Pradesh [1947 - 1999],Bihari Lal Shailesh,Indian National Congress,759882,327888,43.2,3418,1.0,1984
2741,Chamarajanagar,15,GEN,Karnataka,V. Sreenivasa Prasad,Indian National Congress,719216,462181,64.3,80653,17.5,1984
2742,Chandauli,51,GEN,Uttar Pradesh [1947 - 1999],Chanda Tripati,Indian National Congress,770457,457373,59.4,51101,11.2,1984
2743,Chandigarh,1,GEN,Chandigarh,Jagan Nath Kaushal,Indian National Congress,229291,158050,68.9,66300,41.9,1984
2744,Chandni Chowk,5,SC,Delhi [1977 Onwards],Jai Parkash Agarwal,Indian National Congress,283849,203899,71.8,47076,23.1,1984
2745,Chandrapur,26,GEN,Maharashtra,Potdukhe Shantaram Rajeshwar,Indian National Congress,771242,462324,60.0,189155,40.9,1984
2746,Chapra,7,GEN,Bihar [1947 - 1999],Ram Bahadur Singh,Janta Party,780710,460294,59.0,26006,5.6,1984
2747,Chatra,44,GEN,Bihar [1947 - 1999],Yogeshwar Prasad Yogesh,Indian National Congress,729752,382616,52.4,156542,40.9,1984
2748,Chengalpattu,5,GEN,Tamil Nadu,S. Jagathrakshakan,All India Anna Dravida Munnetra Kazhagam,737434,568599,77.1,58209,10.2,1984
2749,Chhindwara,27,GEN,Madhya Pradesh [1947 - 1999],Kamal Nath,Indian National Congress,638430,369149,57.8,153825,41.7,1984
2750,Chhota Udaipur,21,ST,Gujarat,Rathwa Amarsinh Viriyabhai,Indian National Congress,681795,366154,53.7,111987,30.6,1984
2751,Chidambaram,12,GEN,Tamil Nadu,Vallalperuman P.,Indian National Congress,734012,565913,77.1,120891,21.4,1984
2752,Chikballapur,9,ST,Karnataka,V. Krishna Rao,Indian National Congress,750841,557461,74.2,44314,7.9,1984
2753,Chikkodi,26,GEN,Karnataka,B. Shankaranad,Indian National Congress,705279,489225,69.4,3645,0.7,1984
2754,Chikmagalur,20,GEN,Karnataka,D. K. Taradevi,Indian National Congress,677667,444583,65.6,140040,31.5,1984
2755,Chimur,25,GEN,Maharashtra,Muttemwar Vilas Baburao,Indian National Congress,751666,559668,74.5,172100,30.8,1984
2756,Chirayinkil,19,GEN,Kerala,Thalekkunnil Basheer,Indian National Congress,728111,531321,73.0,31465,5.9,1984
2757,Chitradurga,7,GEN,Karnataka,K. H. Ranganath,Indian National Congress,773621,545358,70.5,56811,10.4,1984
2758,Chittoor,21,GEN,Andhra Pradesh,N.P.Jhansi Lakshmi,Telugu Desam,815085,622020,76.3,61211,9.8,1984
2759,Chittorgarh,19,ST,Rajasthan,Nirmla Kumari,Indian National Congress,803392,439081,54.7,76389,17.4,1984
2760,Churu,3,GEN,Rajasthan,Mohar Singh,Indian National Congress,831213,505986,60.9,111423,22.0,1984
2761,Coimbatore,20,GEN,Tamil Nadu,Kuppuswamy C. K.,Indian National Congress,902773,643831,71.3,102519,15.9,1984
2762,Contai,31,GEN,West Bengal,Phulrenu Guha,Indian National Congress,697117,564583,81.0,13758,2.4,1984
2763,Cooch Behar,1,SC,West Bengal,Amar Roy Prodhan,All India Forward Bloc,777024,660863,85.1,45517,6.9,1984
2764,Cuddalore,11,GEN,Tamil Nadu,Venkatesan P.R.S.,Indian National Congress,733050,565944,77.2,131954,23.3,1984
2765,Cuddapah,23,GEN,Andhra Pradesh,D.N.Reddy,Telugu Desam,890757,649290,72.9,54308,8.4,1984
2766,Cuttack,6,GEN,Orissa,Jayanti Pattanik,Indian National Congress,755436,485934,64.3,78921,16.2,1984
2767,Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Gavli Sitaram Jivyabhai,Independent,54066,40331,74.6,5381,13.3,1984
2768,Dahanu,11,GEN,Maharashtra,Shingada Damu Barku,Indian National Congress,774100,366780,47.4,69720,19.0,1984
2769,Dahod,17,GEN,Gujarat,Damor Somjibhai Punjabhai,Indian National Congress,667758,265136,39.7,114737,43.3,1984
2771,Damoh,7,GEN,Madhya Pradesh [1947 - 1999],Dal Chandra Jain,Indian National Congress,771797,458902,59.5,50269,11.0,1984
2772,Darbhanga,15,GEN,Bihar [1947 - 1999],Vijay Kumar Mishra,Lok Dal,770111,442007,57.4,72167,16.3,1984
2773,Darjeeling,4,GEN,West Bengal,Ananda Prasad Pathak,Communist Party Of India (MARXIST),824564,561738,68.1,1389,0.2,1984
2774,Dausa,7,GEN,Rajasthan,Rajesh Pilot,Indian National Congress,801509,466144,58.2,74343,15.9,1984
2775,Davangere,6,ST,Karnataka,Channaiah Odeyar,Indian National Congress,790941,551048,69.7,65741,11.9,1984
2776,Delhi Sadar,6,GEN,Delhi [1977 Onwards],Jagdish Tytler,Indian National Congress,367575,252696,68.8,65853,26.1,1984
2777,Deogarh,18,GEN,Orissa,Sriballav Panigrahi,Indian National Congress,732492,402116,54.9,93522,23.3,1984
2778,Deoria,41,GEN,Uttar Pradesh [1947 - 1999],Rajmangal Pandey,Indian National Congress,793421,439872,55.4,145101,33.0,1984
2779,Dhanbad,47,GEN,Bihar [1947 - 1999],Shankar Dayal Singh,Indian National Congress,923926,503143,54.5,62295,12.4,1984
2780,Dhandhuka,9,GEN,Gujarat,Narsinhbhai Karsanbhai Makwana,Indian National Congress,691033,390367,56.5,22616,5.8,1984
2781,Dhar,36,ST,Madhya Pradesh [1947 - 1999],Pratapsingh Baghel,Indian National Congress,683486,435187,63.7,135355,31.1,1984
2782,Dharmapuri,13,SC,Tamil Nadu,M. Thambi Duriai,All India Anna Dravida Munnetra Kazhagam,780371,552006,70.7,151252,27.4,1984
2783,Dharwad North,24,GEN,Karnataka,Naikar Dyamappa Kallappa,Indian National Congress,719826,450810,62.6,44851,9.9,1984
2784,Dharwad South,23,GEN,Karnataka,Azeez Sait,Indian National Congress,700921,500375,71.4,57607,11.5,1984
2785,Dhenkanal,19,GEN,Orissa,Raja Kamakhya Prasad Singh Deo Mahindra Bahadur,Indian National Congress,696446,417650,60.0,203573,48.7,1984
2786,Dhubri,4,GEN,Assam,Abdul Hamid,Independent,740858,642847,86.8,11818,1.8,1984
2787,Dhule,14,GEN,Maharashtra,Bhoye Reshama Motiram,Indian National Congress,706445,404435,57.3,65932,16.3,1984
2788,Diamond Harbour,17,GEN,West Bengal,Amal Datta,Communist Party Of India (MARXIST),795313,598286,75.2,4673,0.8,1984
2789,Dibrugarh,13,GEN,Assam,Haren Bhumji,Indian National Congress,919207,480504,52.3,42055,8.8,1984
2790,Dindigul,23,GEN,Tamil Nadu,K.R. Natarajan,All India Anna Dravida Munnetra Kazhagam,813821,579576,71.2,141318,24.4,1984
2791,Domariaganj,35,GEN,Uttar Pradesh [1947 - 1999],Kazi Jalil Abbasi,Indian National Congress,783353,446841,57.0,112987,25.3,1984
2792,Dum Dum,20,SC,West Bengal,Asutosh Law,Indian National Congress,1005879,778814,77.4,2703,0.3,1984
2793,Dumka,27,ST,Bihar [1947 - 1999],Prithiwi Chand Kisku,Indian National Congress,708326,380961,53.8,97187,25.5,1984
2794,Durg,21,GEN,Madhya Pradesh [1947 - 1999],Chandulal Chandrakar,Indian National Congress,754373,503048,66.7,172594,34.3,1984
2795,Durgapur,37,SC,West Bengal,Purna Chandra Malik,Communist Party Of India (MARXIST),828869,645271,77.9,38768,6.0,1984
2796,East Delhi,4,GEN,Delhi [1977 Onwards],H.K.L.Bhagat,Indian National Congress,832324,510643,61.4,312180,61.1,1984
2797,Eluru,11,GEN,Andhra Pradesh,Bolla Bulli Ramaiah,Telugu Desam,790920,602968,76.2,111652,18.5,1984
2798,Erandol,16,GEN,Maharashtra,Vijaykumar Naval Patil,Indian National Congress,778541,473313,60.8,65155,13.8,1984
2799,Ernakulam,11,GEN,Kerala,K. V. Thomas,Indian National Congress,727741,551838,75.8,70324,12.7,1984
2800,Etah,71,GEN,Uttar Pradesh [1947 - 1999],Muhammad Mehfooj Ali Khan Alias Pyarey Main,Lok Dal,655413,356446,54.4,3431,1.0,1984
2801,Etawah,66,GEN,Uttar Pradesh [1947 - 1999],Raghuraj Singh,Indian National Congress,722895,434031,60.0,23068,5.3,1984
2802,Faizabad,28,GEN,Uttar Pradesh [1947 - 1999],Nirmal Khatri,Indian National Congress,723860,398335,55.0,104492,26.2,1984
2803,Faridabad,6,GEN,Haryana,Rahim Khan,Indian National Congress,869828,537552,61.8,134371,25.0,1984
2804,Faridkot,12,GEN,Punjab,Shaminder Singh,Shiromani Akali Dal,848893,546304,64.4,35253,6.5,1984
2805,Farrukhabad,68,GEN,Uttar Pradesh [1947 - 1999],Khurshed Alam Khan,Indian National Congress,774883,458919,59.2,126611,27.6,1984
2806,Fatehpur,58,GEN,Uttar Pradesh [1947 - 1999],Hari Krishna Shastri,Indian National Congress,752578,382858,50.9,92883,24.3,1984
2807,Ferozepur,13,GEN,Punjab,Gurdial Singh Dhillon,Indian National Congress,844964,577690,68.4,43356,7.5,1984
2808,Firozabad,72,SC,Uttar Pradesh [1947 - 1999],Ganga Ram,Indian National Congress,717338,342816,47.8,63502,18.5,1984
2809,Gandhinagar,11,GEN,Gujarat,G.I.Patel,Indian National Congress,929582,554174,59.6,2754,0.5,1984
2810,Ganganagar,1,SC,Rajasthan,Birbal,Indian National Congress,829728,452831,54.6,165514,36.6,1984
2811,Garhwal,2,GEN,Uttar Pradesh [1947 - 1999],Chandra Mohan Singh,Indian National Congress,662209,349684,52.8,118881,34.0,1984
2812,Gauhati,7,GEN,Assam,Dinesh Goswami,Independent,874981,720667,82.4,303506,42.1,1984
2813,Gaya,43,SC,Bihar [1947 - 1999],Ram Swaroop Ram,Indian National Congress,811699,539430,66.5,84435,15.7,1984
2814,Ghatampur,63,SC,Uttar Pradesh [1947 - 1999],Askaran,Indian National Congress,728540,370096,50.8,48870,13.2,1984
2815,Ghazipur,50,GEN,Uttar Pradesh [1947 - 1999],Zainul Basher,Indian National Congress,798528,468320,58.7,70561,15.1,1984
2816,Ghosi,44,GEN,Uttar Pradesh [1947 - 1999],Raj Kumar,Indian National Congress,771606,420536,54.5,64846,15.4,1984
2817,Giridih,46,GEN,Bihar [1947 - 1999],Sarfraj Ahmed,Indian National Congress,735849,377359,51.3,124753,33.1,1984
2818,Gobichettipalayam,19,SC,Tamil Nadu,Kholandaivelu P.,All India Anna Dravida Munnetra Kazhagam,733501,548908,74.8,160627,29.3,1984
2819,Godda,28,GEN,Bihar [1947 - 1999],Saminuddin,Indian National Congress,786972,435994,55.4,120373,27.6,1984
2820,Godhra,18,GEN,Gujarat,Jaydeepsinhji,Indian National Congress,662634,352709,53.2,85847,24.3,1984
2821,Gonda,33,GEN,Uttar Pradesh [1947 - 1999],Anand Singh Alias Annu Bhaiya,Indian National Congress,759335,393981,51.9,165976,42.1,1984
2822,Gopalganj,4,GEN,Bihar [1947 - 1999],Kali Prasad Pandey,Independent,785919,493043,62.7,177092,35.9,1984
2823,Gorakhpur,38,GEN,Uttar Pradesh [1947 - 1999],Madan Pandey,Indian National Congress,700548,381518,54.5,96600,25.3,1984
2824,Gulbarga,2,GEN,Karnataka,Veerenira Patil,Indian National Congress,768520,415495,54.1,95490,23.0,1984
2825,Guna,4,GEN,Madhya Pradesh [1947 - 1999],Mahendra Singh,Indian National Congress,784995,377498,48.1,140480,37.2,1984
2826,Guntur,15,GEN,Andhra Pradesh,N.G.Ranga,Indian National Congress,896875,604181,67.4,11894,2.0,1984
2827,Gurdaspur,1,GEN,Punjab,Sukhbuns Kaur,Indian National Congress,754117,514025,68.2,37677,7.3,1984
2828,Gwalior,3,GEN,Madhya Pradesh [1947 - 1999],Madhav Rao Scindia,Indian National Congress,704433,471068,66.9,175594,37.3,1984
2829,Hajipur,8,SC,Bihar [1947 - 1999],Ram Ratan Ram,Indian National Congress,834167,593853,71.2,51216,8.6,1984
2830,Hamirpur,60,GEN,Uttar Pradesh [1947 - 1999],Swami Prasad Singh,Indian National Congress,672800,389980,58.0,63311,16.2,1984
2831,Hamirpur,4,SC,Himachal Pradesh,Narain Chand,Indian National Congress,590980,391974,66.3,124933,31.9,1984
2832,Hanamkonda,38,GEN,Andhra Pradesh,Chandupatla Janga Reddy,Bharatiya Janta Party,764721,517559,67.7,54198,10.5,1984
2833,Hapur,79,GEN,Uttar Pradesh [1947 - 1999],Kedar Nath,Indian National Congress,768575,463376,60.3,150676,32.5,1984
2834,Hardoi,19,SC,Uttar Pradesh [1947 - 1999],Kindar Lal,Indian National Congress,722243,371601,51.5,60403,16.3,1984
2835,Hardwar,85,SC,Uttar Pradesh [1947 - 1999],Sunder Lal,Indian National Congress,692463,448654,64.8,135188,30.1,1984
2836,Hassan,19,GEN,Karnataka,H. N. Nanjegowda,Indian National Congress,774758,546793,70.6,31969,5.8,1984
2837,Hathras,75,SC,Uttar Pradesh [1947 - 1999],Puran Chand,Indian National Congress,744969,377037,50.6,44638,11.8,1984
2838,Hazaribagh,48,GEN,Bihar [1947 - 1999],Damodar Pandey,Indian National Congress,794720,380727,47.9,60381,15.9,1984
2839,Hindupur,24,GEN,Andhra Pradesh,K. Ramachandra Reddy,Telugu Desam,790363,567118,71.8,155337,27.4,1984
2840,Hingoli,29,GEN,Maharashtra,Rathode Uttamraoji Baliramji,Indian National Congress,727842,418207,57.5,135091,32.3,1984
2841,Hissar,9,GEN,Haryana,Birinder Singh,Indian National Congress,737467,491750,66.7,51206,10.4,1984
2842,Hooghly,27,GEN,West Bengal,Indumati Bhattacharyya,Indian National Congress,774719,646867,83.5,10967,1.7,1984
2843,Hoshangabad,29,GEN,Madhya Pradesh [1947 - 1999],Rameshwar Nikhra,Indian National Congress,698049,439098,62.9,70579,16.1,1984
2844,Hoshiarpur,6,GEN,Punjab,Kamal Chudhary,Indian National Congress,780463,518663,66.5,76703,14.8,1984
2845,Howrah,24,GEN,West Bengal,Priya Ranjan Das Munshi,Indian National Congress,899038,689599,76.7,94042,13.6,1984
2846,Hyderabad,30,GEN,Andhra Pradesh,Sultan Salahuddin Owaise,Independent,777353,596666,76.8,3481,0.6,1984
2847,Ichalkaranji,47,GEN,Maharashtra,Mane Balaso Alias Rajaram Shankarrao,Indian National Congress,755413,529006,70.0,44138,8.3,1984
2848,Idukki,14,GEN,Kerala,P. J. Kurian,Indian National Congress,717790,541206,75.4,130624,24.1,1984
2849,Indore,37,GEN,Madhya Pradesh [1947 - 1999],Prakash Chand Sethi,Indian National Congress,790468,488546,61.8,90826,18.6,1984
2850,Inner Manipur,1,GEN,Manipur,N.Tombi Singh,Indian National Congress,514101,441797,85.9,14729,3.3,1984
2851,Jabalpur,25,GEN,Madhya Pradesh [1947 - 1999],Ajay Narayan Mushran,Indian National Congress,720103,429802,59.7,122323,28.5,1984
2852,Jadavpur,18,GEN,West Bengal,Mamata Banerjee,Indian National Congress,871732,666155,76.4,19660,3.0,1984
2853,Jagatsinghpur,7,SC,Orissa,Lakshman Mallick,Indian National Congress,778255,556239,71.5,958,0.2,1984
2854,Jahanabad,41,GEN,Bihar [1947 - 1999],Ramasharay Pd. Singh,Communist Party Of India,939919,755148,80.3,30976,4.1,1984
2855,Jaipur,6,GEN,Rajasthan,Nawal Kishore Sharma,Indian National Congress,871295,511855,58.8,83857,16.4,1984
2856,Jajpur,4,ST,Orissa,Anadi Charan Das,Indian National Congress,721932,474541,65.7,59505,12.5,1984
2857,Jalaun,62,SC,Uttar Pradesh [1947 - 1999],Lachhi Ram,Indian National Congress,732228,381519,52.1,53237,14.0,1984
2858,Jalesar,70,GEN,Uttar Pradesh [1947 - 1999],Kailash Chandra Yadav,Indian National Congress,687471,391562,57.0,9738,2.5,1984
2859,Jalgaon,17,GEN,Maharashtra,Mahajan Yadav Shivram,Indian National Congress,759154,466488,61.5,54465,11.7,1984
2860,Jalna,32,GEN,Maharashtra,Balasaheb Ramrao Pawar,Indian National Congress,781442,412640,52.8,66567,16.1,1984
2861,Jalore,22,GEN,Rajasthan,Buta Singh,Indian National Congress,835714,440491,52.7,163464,37.1,1984
2862,Jalpaiguri,3,SC,West Bengal,Manik Sanyal,Communist Party Of India (MARXIST),747874,580864,77.7,33172,5.7,1984
2863,Jammu,6,GEN,Jammu & Kashmir,Janak Raj Gupta,Indian National Congress,811828,576390,71.0,120192,20.9,1984
2864,Jamnagar,3,GEN,Gujarat,Jadeja Daulatsinh Partap Sinh,Indian National Congress,639311,353591,55.3,23090,6.5,1984
2865,Jamshedpur,50,GEN,Bihar [1947 - 1999],Gopeshwar,Indian National Congress,752702,443298,58.9,66202,14.9,1984
2866,Jangipur,8,GEN,West Bengal,Abedin Zainal,Communist Party Of India (MARXIST),774538,598478,77.3,14738,2.5,1984
2867,Janjgir,14,GEN,Madhya Pradesh [1947 - 1999],Prabhat Kumar Mishra,Indian National Congress,722845,378143,52.3,152180,40.2,1984
2868,Jaunpur,48,GEN,Uttar Pradesh [1947 - 1999],Kamala Prasad Singh,Indian National Congress,760090,440252,57.9,81523,18.5,1984
2869,Jhabua,39,ST,Madhya Pradesh [1947 - 1999],Dileep Singh Bhurio,Indian National Congress,668183,352673,52.8,134532,38.1,1984
2870,Jhalawar,15,GEN,Rajasthan,Jujharsingh,Indian National Congress,700480,402166,57.4,69313,17.2,1984
2871,Jhanjharpur,14,GEN,Bihar [1947 - 1999],Gauri Shankar Rajhans,Indian National Congress,782753,589464,75.3,205392,34.8,1984
2872,Jhansi,61,GEN,Uttar Pradesh [1947 - 1999],Sujan Singh Bundela,Indian National Congress,773224,473784,61.3,115923,24.5,1984
2873,Jhargram,33,ST,West Bengal,Motilal Hansda,Communist Party Of India (MARXIST),746406,588420,78.8,75242,12.8,1984
2874,Jhunjhunu,4,GEN,Rajasthan,Mohd. Ayub Khan,Indian National Congress,887702,563921,63.5,57306,10.2,1984
2875,Jodhpur,24,GEN,Rajasthan,Ashok Gehlot,Indian National Congress,855909,470880,55.0,153348,32.6,1984
2876,Jorhat,12,GEN,Assam,Parag Chaliha,Independent,726711,525440,72.3,98753,18.8,1984
2877,Joynagar,15,GEN,West Bengal,Sant Kumar Mandal,Revolutionary Socialist Party,762924,611190,80.1,20449,3.3,1984
2878,Jullundur,4,SC,Punjab,Rajinder Singh Sparrow,Indian National Congress,757112,506310,66.9,69643,13.8,1984
2879,Junagadh,6,GEN,Gujarat,Patel Mohanbhai Laljibhai,Indian National Congress,693720,368407,53.1,31943,8.7,1984
2880,Kaira,19,ST,Gujarat,Ajitsinh Fulsinhji Dyabhai,Indian National Congress,741211,455322,61.4,147433,32.4,1984
2881,Kairana,83,GEN,Uttar Pradesh [1947 - 1999],Akhtar Hasan,Indian National Congress,702980,454995,64.7,98549,21.7,1984
2882,Kaiserganj,30,GEN,Uttar Pradesh [1947 - 1999],Rana Vir Singh,Indian National Congress,724076,346696,47.9,116830,33.7,1984
2883,Kakinada,7,GEN,Andhra Pradesh,Thota Gopala Krishna,Telugu Desam,804480,580660,72.2,129714,22.3,1984
2884,Kalahandi,14,GEN,Orissa,Jagannath Patnaik,Indian National Congress,631264,337995,53.5,24074,7.1,1984
2885,Kaliabor,11,GEN,Assam,Bhadreswar Tanti,Independent,793121,605728,76.4,89000,14.7,1984
2886,Kanakapura,11,GEN,Karnataka,M. V. Chandrashekara Murthy,Indian National Congress,903602,652044,72.2,7026,1.1,1984
2887,Kanara,22,SC,Karnataka,G. Devaray Naik,Indian National Congress,732187,486027,66.4,49198,10.1,1984
2888,Kangra,3,GEN,Himachal Pradesh,Chandresh Kumari,Indian National Congress,568075,381100,67.1,117433,30.8,1984
2889,Kanker,19,ST,Madhya Pradesh [1947 - 1999],Arvind Netam,Indian National Congress,656383,351127,53.5,136187,38.8,1984
2890,Kannauj,67,GEN,Uttar Pradesh [1947 - 1999],Sheila Dixit,Indian National Congress,746090,488138,65.4,61815,12.7,1984
2891,Kanpur,65,GEN,Uttar Pradesh [1947 - 1999],Naresh Chandra Chaturvedi,Indian National Congress,672538,381572,56.7,137369,36.0,1984
2892,Kapadvanj,16,GEN,Gujarat,Solanki Nataversingh Kesarisinghji,Indian National Congress,744151,459130,61.7,32324,7.0,1984
2893,Karad,45,GEN,Maharashtra,Chavan Premalabai Dajisaheb,Indian National Congress,758980,427947,56.4,285268,66.7,1984
2894,Karimganj,1,SC,Assam,Sudarsan Das,Indian Congress (SOCIALIST),677521,513271,75.8,74421,14.5,1984
2895,Karimnagar,37,GEN,Andhra Pradesh,Juvvadi Chokkarao,Indian National Congress,836463,496088,59.3,78607,15.8,1984
2896,Karnal,3,SC,Haryana,Chiranji Lal,Indian National Congress,746675,516886,69.2,98952,19.1,1984
2897,Karol Bagh,7,GEN,Delhi [1977 Onwards],Sunderwati Nawal Prabhakar,Indian National Congress,331628,222467,67.1,86572,38.9,1984
